"country" "year" "gdp" "unem" "capmob" "trade"
"1" "United States" 1966  5.1111407  3.8000000  0   9.622906
"2" "United States" 1967  2.2772829  3.8000000  0   9.983546
"3" "United States" 1968  4.7000000  3.6000000  0  10.089120
"4" "United States" 1969  2.8000000  3.5000000  0  10.435930
"5" "United States" 1970 -0.2000000  4.9000000  0  10.495350
"6" "United States" 1971  3.1000000  5.9000000  0  11.278270
"7" "United States" 1972  5.4000000  5.6000000  0  11.217710
"8" "United States" 1973  5.7000000  4.9000000  0  11.767050
"9" "United States" 1974 -0.9000000  5.6000000  0  13.772550
"10" "United States" 1975 -0.8000000  8.5000000  0  17.423260
"11" "United States" 1976  4.7000000  7.7000000  0  16.522110
"12" "United States" 1977  5.5000000  7.1000000  0  17.234920
"13" "United States" 1978  4.7000000  6.1000000  0  17.540990
"14" "United States" 1979  2.6000000  5.8000000  0  18.175910
"15" "United States" 1980 -0.4000000  7.1000000  0  19.732850
"16" "United States" 1981  3.4000000  7.5000000  0  21.510570
"17" "United States" 1982 -3.0000000  9.5000000  0  20.538950
"18" "United States" 1983  2.9000000  9.5000000  0  18.569720
"19" "United States" 1984  7.2000000  7.5000000  0  17.815880
"20" "United States" 1985  3.8000000  7.1000000  0  18.028990
"21" "United States" 1986  2.8000000  7.0000000  0  17.203710
"22" "United States" 1987  3.7000000  6.2000000  0  17.230950
"23" "United States" 1988  4.6000000  5.5000000  0  18.294180
"24" "United States" 1989  2.8000000  5.2700837  0  19.413526
"25" "United States" 1990  0.9000000  5.4145596  0  20.638364
"26" "Canada" 1966  6.8021676  3.6000000  0  38.454670
"27" "Canada" 1967  2.9236458  4.1000000  0  40.161670
"28" "Canada" 1968  5.6000000  4.8000000  0  41.065740
"29" "Canada" 1969  5.2000000  4.7000000  0  42.768490
"30" "Canada" 1970  2.6000000  5.9000000  0  44.165330
"31" "Canada" 1971  7.0000000  6.4000000  0  43.849900
"32" "Canada" 1972  5.8000000  6.3000000  0  42.678130
"33" "Canada" 1973  7.5000000  5.6000000  0  43.884720
"34" "Canada" 1974  3.5000000  5.4000000  0  46.415430
"35" "Canada" 1975  1.1000000  6.9000000  0  50.493310
"36" "Canada" 1976  6.1000000  7.1000000  0  48.161620
"37" "Canada" 1977  2.2000000  8.1000000  0  46.121660
"38" "Canada" 1978  3.9000000  8.4000000  0  48.003110
"39" "Canada" 1979  3.4000000  7.5000000  0  51.226560
"40" "Canada" 1980  1.0000000  7.5000000  0  54.932030
"41" "Canada" 1981  4.0000000  7.6000000  0  55.771610
"42" "Canada" 1982 -4.3000000 11.0000000  0  54.325000
"43" "Canada" 1983  2.8000000 11.9000000  0  48.583550
"44" "Canada" 1984  5.4000000 11.3000000  0  48.402080
"45" "Canada" 1985  4.7000000 10.5000000  0  53.523450
"46" "Canada" 1986  3.1000000  9.6000000  0  54.308200
"47" "Canada" 1987  4.5000000  8.9000000  0  53.461100
"48" "Canada" 1988  5.0000000  7.8000000  0  52.156830
"49" "Canada" 1989  2.4000000  7.4952143  0  52.077395
"50" "Canada" 1990  0.4000000  8.0595930  0  49.932476
"51" "United Kingdom" 1966  1.8770983  1.5000000 -1  37.931900
"52" "United Kingdom" 1967  2.2550651  2.3000000 -1  37.830320
"53" "United Kingdom" 1968  4.1000000  2.5000000 -1  37.762960
"54" "United Kingdom" 1969  1.5000000  2.4000000 -2  41.925460
"55" "United Kingdom" 1970  2.2000000  2.6000000 -2  42.797890
"56" "United Kingdom" 1971  2.7000000  3.5000000 -1  44.084340
"57" "United Kingdom" 1972  2.3000000  3.8000000 -1  43.510690
"58" "United Kingdom" 1973  7.6000000  2.7000000 -1  42.867210
"59" "United Kingdom" 1974 -1.0000000  2.6000000 -1  48.822800
"60" "United Kingdom" 1975 -0.7000000  4.0000000 -1  59.628370
"61" "United Kingdom" 1976  3.8000000  5.5000000 -1  52.510370
"62" "United Kingdom" 1977  1.0000000  5.8000000 -1  56.874880
"63" "United Kingdom" 1978  3.6000000  5.7000000 -1  59.064990
"64" "United Kingdom" 1979  2.2000000  5.3000000 -1  55.531340
"65" "United Kingdom" 1980 -2.3000000  7.0000000  0  55.788930
"66" "United Kingdom" 1981 -1.4000000 10.5000000  0  52.513500
"67" "United Kingdom" 1982  1.5000000 11.2000000  0  50.545860
"68" "United Kingdom" 1983  3.4000000 11.7000000  0  51.031590
"69" "United Kingdom" 1984  1.8000000 11.7000000  0  52.773220
"70" "United Kingdom" 1985  3.7000000 11.2000000  0  58.076640
"71" "United Kingdom" 1986  3.5000000 11.2000000  0  57.582850
"72" "United Kingdom" 1987  4.7000000 10.2000000  0  53.523350
"73" "United Kingdom" 1988  4.1000000  8.3000000  0  52.650150
"74" "United Kingdom" 1989  2.3000000  6.1140732  0  50.248182
"75" "United Kingdom" 1990  0.8000000  5.4717446  0  52.355970
"76" "Netherlands" 1966  1.8770983  1.0000000 -2  87.058950
"77" "Netherlands" 1967  2.2550651  2.0000000 -2  85.449720
"78" "Netherlands" 1968  2.3000000  1.9000000 -3  82.560510
"79" "Netherlands" 1969  6.4000000  1.4000000 -2  82.631060
"80" "Netherlands" 1970  6.7000000  1.1000000 -2  86.038790
"81" "Netherlands" 1971  4.2000000  1.6000000 -2  91.876280
"82" "Netherlands" 1972  3.3000000  2.8000000 -1  91.269110
"83" "Netherlands" 1973  4.7000000  2.8000000 -1  87.190080
"84" "Netherlands" 1974  4.0000000  3.5000000 -1  91.157950
"85" "Netherlands" 1975 -0.1000000  5.3000000 -1 104.975700
"86" "Netherlands" 1976  5.1000000  5.6000000 -1  96.280620
"87" "Netherlands" 1977  2.3000000  5.5000000 -1  98.340400
"88" "Netherlands" 1978  2.5000000  5.5000000  0  93.892990
"89" "Netherlands" 1979  2.4000000  5.6000000  0  89.751190
"90" "Netherlands" 1980  0.9000000  6.0000000  0  98.667540
"91" "Netherlands" 1981 -0.7000000  8.9000000  0 105.550200
"92" "Netherlands" 1982 -1.4000000 10.3000000  0 112.472700
"93" "Netherlands" 1983  0.9000000 12.3000000  0 111.333700
"94" "Netherlands" 1984  1.7000000 12.3000000  0 112.810500
"95" "Netherlands" 1985  2.6000000 10.2000000  0 119.003100
"96" "Netherlands" 1986  2.0000000 10.0000000  0 122.672100
"97" "Netherlands" 1987  1.1000000 10.0000000  0 104.127300
"98" "Netherlands" 1988  2.7000000 10.1000000  0 102.312000
"99" "Netherlands" 1989  4.0000000  8.3122300  0 105.057288
"100" "Netherlands" 1990  3.9000000  7.5087311  0 111.762226
"101" "Belgium" 1966  3.1622589  2.7000000 -2  73.618440
"102" "Belgium" 1967  3.8753976  3.7000000 -2  74.542040
"103" "Belgium" 1968  4.2000000  4.5000000 -2  73.585590
