"state"	"year"	"vote"	"income"	"education"	"age"	"female"
"AR"	2000	1	9	2	73	0
"AR"	2000	1	11	2	24	0
"AR"	2000	0	12	2	24	1
"AR"	2000	1	16	4	40	0
"AR"	2000	1	10	4	85	1
"AR"	2000	1	12	3	78	1
"AR"	2000	0	14	4	31	0
"AR"	2000	1	10	1	75	0
"AR"	2000	1	17	2	54	0
"AR"	2000	1	8	1	78	0
"AR"	2000	1	15	3	71	0
"AR"	2000	1	13	3	40	1
"AR"	2000	1	10	2	46	0
"AR"	2000	1	9	2	71	1
"AR"	2000	1	5	2	20	1
"AR"	2000	1	10	3	60	0
"AR"	2000	1	8	2	45	0
"AR"	2000	1	14	1	45	0
"AR"	2000	1	14	2	20	1
"AR"	2000	1	6	1	77	0
"AR"	2000	0	17	2	50	1
"AR"	2000	1	12	2	65	0
"AR"	2000	1	6	1	84	1
"AR"	2000	1	13	2	56	1
"AR"	2000	1	7	1	56	0
"AR"	2000	1	15	4	44	0
"AR"	2000	1	16	2	50	0
"AR"	2000	1	8	2	31	1
"AR"	2000	1	16	4	64	0
"AR"	2000	1	10	1	80	0
"AR"	2000	0	9	1	37	0
"AR"	2000	1	16	2	55	1
"AR"	2000	1	16	2	37	0
"AR"	2000	1	11	2	53	1
"AR"	2000	1	9	3	50	0
"AR"	2000	1	7	4	41	0
"AR"	2000	1	9	2	56	0
"AR"	2000	1	11	2	42	0
"AR"	2000	1	17	4	35	1
"AR"	2000	1	5	2	77	1
"AR"	2000	1	5	1	85	1
"AR"	2000	1	6	3	79	1
"AR"	2000	0	4	1	23	1
"AR"	2000	1	17	4	62	0
"AR"	2000	1	8	2	45	0
"AR"	2000	1	8	3	71	0
"AR"	2000	1	17	4	59	0
"AR"	2000	1	13	4	25	1
"AR"	2000	1	10	3	66	0
"AR"	2000	1	4	3	36	1
"AR"	2000	0	16	3	28	0
"AR"	2000	1	17	4	63	0
"AR"	2000	0	9	1	63	0
"AR"	2000	1	7	2	85	1
"AR"	2000	0	4	2	23	1
"AR"	2000	1	16	2	18	1
"AR"	2000	1	16	4	59	0
"AR"	2000	1	10	2	44	1
"AR"	2000	1	8	2	54	1
"AR"	2000	1	15	4	46	1
"AR"	2000	1	16	3	29	1
"AR"	2000	0	10	2	21	0
"AR"	2000	1	16	3	58	0
"AR"	2000	1	12	3	19	1
"AR"	2000	0	7	2	50	1
"AR"	2000	1	16	2	67	1
"AR"	2000	0	4	2	30	0
"AR"	2000	1	9	2	69	0
"AR"	2000	1	13	3	30	0
"AR"	2000	0	10	4	47	1
"AR"	2000	1	9	2	62	1
"AR"	2000	0	11	2	35	0
"AR"	2000	1	9	3	44	1
"AR"	2000	1	6	2	25	1
"AR"	2000	1	15	3	43	1
"AR"	2000	1	13	3	39	1
"AR"	2000	1	12	2	80	0
"AR"	2000	1	12	2	81	1
"AR"	2000	1	4	1	85	1
"AR"	2000	1	17	3	28	1
"AR"	2000	0	15	2	49	1
"AR"	2000	1	16	3	29	1
"AR"	2000	1	16	4	50	0
"AR"	2000	1	4	2	61	0
"AR"	2000	1	10	2	34	0
"AR"	2000	1	10	1	61	0
"AR"	2000	1	16	3	28	0
"AR"	2000	1	17	4	26	1
"AR"	2000	1	16	4	25	1
"AR"	2000	0	12	2	78	0
"AR"	2000	1	6	2	62	1
"AR"	2000	1	9	4	73	0
"AR"	2000	1	15	3	19	1
"AR"	2000	1	13	3	57	0
"AR"	2000	1	14	3	60	1
"AR"	2000	0	16	2	50	0
"AR"	2000	1	15	2	59	1
"AR"	2000	0	12	3	21	1
"AR"	2000	1	9	4	54	1
"AR"	2000	0	12	4	26	0
"AR"	2000	1	4	2	26	1
"AR"	2000	0	15	4	31	1
"AR"	2000	1	11	3	69	1
"AR"	2000	1	11	4	85	1
"AR"	2000	1	9	2	77	0
"AR"	2000	1	12	4	70	1
"AR"	2000	0	4	1	73	1
"AR"	2000	1	15	2	55	1
"AR"	2000	1	12	3	60	0
"AR"	2000	1	14	2	53	0
"AR"	2000	0	8	3	23	0
"AR"	2000	1	14	3	64	0
"AR"	2000	1	10	2	28	0
"AR"	2000	1	7	3	81	1
"AR"	2000	1	11	3	45	1
"AR"	2000	0	11	2	32	0
"AR"	2000	1	11	3	63	0
"AR"	2000	1	9	2	42	0
"AR"	2000	1	11	3	69	1
"AR"	2000	1	7	2	19	0
"AR"	2000	1	12	1	58	1
"AR"	2000	0	14	2	32	1
"AR"	2000	1	14	3	44	1
"AR"	2000	1	14	3	46	1
"AR"	2000	0	16	4	23	1
"AR"	2000	1	13	3	44	0
"AR"	2000	1	9	2	67	0
"AR"	2000	1	6	1	59	1
"AR"	2000	1	9	2	23	0
